adaptability,expertise,shared_leadership,low,medium,high,expert,method,parent_configuration
l,h,h,0.42,0.28,0.3,3,WSA,9
m,l,l,0.7,0.2,0.1,3,WSA,10
m,l,m,0.32,0.26,0.42,3,WSA,11
m,l,h,0.32,0.24,0.44,3,WSA,12
m,m,l,0.3,0.28,0.42,3,WSA,13
m,m,m,0.2,0.3,0.5,3,WSA,14
m,m,h,0.2,0.3,0.5,3,WSA,15
m,h,l,0.28,0.28,0.44,3,WSA,16
m,h,m,0.18,0.3,0.52,3,WSA,17
m,h,h,0.1,0.3,0.6,3,WSA,18
h,l,l,0.36,0.18,0.46,3,WSA,19
h,l,m,0.26,0.2,0.54,3,WSA,20
h,l,h,0.26,0.18,0.56,3,WSA,21
h,m,l,0.24,0.22,0.54,3,WSA,22
h,m,m,0.2,0.3,0.5,3,WSA,23
h,m,h,0.2,0.2,0.6,3,WSA,24
h,h,l,0.22,0.22,0.56,3,WSA,25
h,h,m,0.12,0.24,0.64,3,WSA,26
h,h,h,0.1,0.2,0.7,3,WSA,27
l,l,l,0.6865,0.2114,0.1021,3,WSAAHP,1
l,l,m,0.3659,0.4238,0.2103,3,WSAAHP,2
l,l,h,0.3588,0.4092,0.232,3,WSAAHP,3
l,m,l,0.3311,0.4306,0.2383,3,WSAAHP,4
l,m,m,0.3338,0.5247,0.1415,3,WSAAHP,5
l,m,h,0.2376,0.4254,0.337,3,WSAAHP,6
l,h,l,0.3362,0.4242,0.2396,3,WSAAHP,7
l,h,m,0.2498,0.4336,0.3165,3,WSAAHP,8
l,h,h,0.2427,0.419,0.3383,3,WSAAHP,9
m,l,l,0.5736,0.2865,0.1399,3,WSAAHP,10
m,l,m,0.214,0.2844,0.5016,3,WSAAHP,11
m,l,h,0.2069,0.2698,0.5233,3,WSAAHP,12
m,m,l,0.1793,0.2911,0.5296,3,WSAAHP,13
m,m,m,0.0929,0.3006,0.6065,3,WSAAHP,14
m,m,h,0.0807,0.2923,0.627,3,WSAAHP,15
m,h,l,0.1844,0.2848,0.5309,3,WSAAHP,16
m,h,m,0.0979,0.2942,0.6078,3,WSAAHP,17
m,h,h,0.1061,0.2605,0.6334,3,WSAAHP,18
h,l,l,0.3133,0.2264,0.4603,3,WSAAHP,19
h,l,m,0.2269,0.2358,0.5373,3,WSAAHP,20
h,l,h,0.2198,0.2212,0.559,3,WSAAHP,21
h,m,l,0.1922,0.2426,0.5653,3,WSAAHP,22
h,m,m,0.1415,0.3338,0.5247,3,WSAAHP,23
h,m,h,0.1061,0.2605,0.6334,3,WSAAHP,24
h,h,l,0.1973,0.2362,0.5666,3,WSAAHP,25
