adaptability,expertise,shared_leadership,low,medium,high,expert,method,parent_configuration
l,h,m,0.4,0.45,0.15,7,manual,8
l,h,h,0.3575,0.46,0.1825,7,manual,9
m,l,l,0.7,0.25,0.05,7,manual,10
m,l,m,0.5,0.35,0.15,7,manual,11
m,l,h,0.3,0.5,0.2,7,manual,12
m,m,l,0.1,0.6,0.3,7,manual,13
m,m,m,0.1,0.7,0.2,7,manual,14
m,m,h,0.15,0.5,0.35,7,manual,15
m,h,l,0.3,0.5,0.2,7,manual,16
m,h,m,0.25,0.45,0.3,7,manual,17
m,h,h,0.1,0.25,0.65,7,manual,18
h,l,l,0.4725,0.2975,0.23,7,manual,19
h,l,m,0.3,0.5,0.2,7,manual,20
h,l,h,0.32,0.5138,0.1663,7,manual,21
h,m,l,0.3,0.5,0.2,7,manual,22
h,m,m,0.2,0.4,0.5,7,manual,23
h,m,h,0.1,0.3,0.6,7,manual,24
h,h,l,0.06,0.28,0.66,7,manual,25
h,h,m,0.01,0.25,0.74,7,manual,26
h,h,h,0.005,0.015,0.98,7,manual,27
l,l,l,0.7,0.2,0.1,8,manual,1
l,l,m,0.6,0.35,0.05,8,manual,2
l,l,h,0.5,0.4,0.1,8,manual,3
l,m,l,0.6,0.35,0.05,8,manual,4
l,m,m,0.55,0.4,0.05,8,manual,5
l,m,h,0.55,0.4,0.05,8,manual,6
l,h,l,0.5325,0.3675,0.1,8,manual,7
l,h,m,0.3,0.5,0.2,8,manual,8
l,h,h,0.1,0.565,0.335,8,manual,9
m,l,l,0.45,0.55,0,8,manual,10
m,l,m,0.4,0.55,0.05,8,manual,11
m,l,h,0.35,0.55,0.1,8,manual,12
m,m,l,0.2,0.4,0.4,8,manual,13
m,m,m,0.1,0.5,0.4,8,manual,14
m,m,h,0,0.5,0.5,8,manual,15
m,h,l,0.2,0.4,0.4,8,manual,16
m,h,m,0.1,0.5,0.4,8,manual,17
m,h,h,0,0.6,0.4,8,manual,18
h,l,l,0.47,0.53,0,8,manual,19
h,l,m,0.4,0.5,0.1,8,manual,20
h,l,h,0.3171,0.5329,0.15,8,manual,21
h,m,l,0.2,0.4,0.4,8,manual,22
h,m,m,0.1,0.4,0.5,8,manual,23
h,m,h,0.1,0.3,0.6,8,manual,24
h,h,l,0.1234,0.4066,0.47,8,manual,25
h,h,m,0.1,0.3,0.6,8,manual,26
h,h,h,0.15,0.3575,0.4925,8,manual,27
l,l,l,0.8,0.15,0.05,9,manual,1
l,l,m,0.6,0.3,0.1,9,manual,2
l,l,h,0.57,0.35,0.08,9,manual,3
l,m,l,0.7,0.25,0.05,9,manual,4
l,m,m,0.63,0.3,0.07,9,manual,5
l,m,h,0.6,0.3,0.1,9,manual,6
l,h,l,0.2,0.65,0.15,9,manual,7
l,h,m,0.15,0.7,0.15,9,manual,8
l,h,h,0.31,0.55,0.14,9,manual,9
m,l,l,0.7,0.25,0.05,9,manual,10
m,l,m,0.55,0.34,0.11,9,manual,11
m,l,h,0.5,0.38,0.12,9,manual,12
m,m,l,0.45,0.45,0.1,9,manual,13
m,m,m,0.2,0.6,0.2,9,manual,14
m,m,h,0.2,0.5,0.3,9,manual,15
m,h,l,0.25,0.63,0.12,9,manual,16
m,h,m,0.15,0.6,0.25,9,manual,17
m,h,h,0.1,0.6,0.3,9,manual,18
h,l,l,0.65,0.3,0.05,9,manual,19
h,l,m,0.5,0.4,0.1,9,manual,20
h,l,h,0.33,0.46,0.21,9,manual,21
h,m,l,0.4,0.55,0.05,9,manual,22
h,m,m,0.3,0.6,0.1,9,manual,23
h,m,h,0.2,0.6,0.2,9,manual,24
h,h,l,0.13,0.37,0.5,9,manual,25
h,h,m,0.12,0.38,0.5,9,manual,26
h,h,h,0.1,0.4,0.5,9,manual,27
l,l,l,0.8,0.15,0.05,10,manual,1
l,l,m,0.6,0.3,0.1,10,manual,2
l,l,h,0.57,0.35,0.08,10,manual,3
l,m,l,0.7,0.25,0.05,10,manual,4
l,m,m,0.63,0.3,0.07,10,manual,5
l,m,h,0.6,0.3,0.1,10,manual,6
l,h,l,0.2,0.65,0.15,10,manual,7
l,h,m,0.15,0.7,0.15,10,manual,8
l,h,h,0.31,0.55,0.14,10,manual,9
m,l,l,0.7,0.25,0.05,10,manual,10
m,l,m,0.55,0.34,0.11,10,manual,11
m,l,h,0.5,0.38,0.12,10,manual,12
m,m,l,0.45,0.45,0.1,10,manual,13
m,m,m,0.2,0.6,0.2,10,manual,14
m,m,h,0.2,0.5,0.3,10,manual,15
m,h,l,0.25,0.63,0.12,10,manual,16
m,h,m,0.15,0.6,0.25,10,manual,17
m,h,h,0.1,0.6,0.3,10,manual,18
h,l,l,0.65,0.3,0.05,10,manual,19
h,l,m,0.5,0.4,0.1,10,manual,20
h,l,h,0.33,0.46,0.21,10,manual,21
h,m,l,0.4,0.55,0.05,10,manual,22
h,m,m,0.3,0.6,0.1,10,manual,23
h,m,h,0.2,0.6,0.2,10,manual,24
h,h,l,0.13,0.37,0.5,10,manual,25
h,h,m,0.12,0.38,0.5,10,manual,26
h,h,h,0.1,0.4,0.5,10,manual,27
